UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1659657600,267,cadli,BTC-USD,22622.431583546,23447.6162577578,22575.6609051885,23306.9785860126,1659657600,1659743940,22588.600622716,23447.6162577578,1659700380,22575.6609051885,1659657720,23306.9785860126,1440,962717.611238543,22219695265.2524,538920.106871619,12458626234.6517,297480.900436202,6880593863.61074,248240.69634017,5744171306.83408
DAY,1659744000,267,cadli,BTC-USD,23306.9785860126,23388.5437733189,22935.2297147319,22953.1456804837,1659744000,1659830340,23302.4356496787,23388.5437733189,1659817260,22935.2297147319,1659830280,22953.1456804837,1440,478136.512082831,11083616848.4559,183655.626704032,4255070787.40052,82184.10457177,1903080880.39912,60186.45325058,1392923847.88141
DAY,1659830400,267,cadli,BTC-USD,22953.1456804837,23388.9569324817,22863.5281956041,23182.4817640934,1659830400,1659916740,22952.4638311905,23388.9569324817,1659906420,22863.5281956041,1659833880,23182.4817640934,1440,479976.9554452,11078487054.3891,191341.08614743,4422648826.79203,79763.14766002,1845732371.42152,57143.17946509,1323669525.90944
DAY,1659916800,267,cadli,BTC-USD,23182.4817640934,24237.9356259194,23182.4817640934,23824.7369983572,1659916800,1660003140,23200.4618714178,24237.9356259194,1659966900,23194.1234883199,1659916920,23824.7369983572,1440,720467.69816634,17195394253.6221,329775.027624906,7874906487.44395,93072.68851747,2223039038.86881,52712.77203361,1259532830.03988
DAY,1660003200,267,cadli,BTC-USD,23824.7369983572,23942.760450687,22907.9766538684,23158.794917736,1660003200,1660089540,23814.8578097423,23942.760450687,1660024620,22907.9766538684,1660054080,23158.794917736,1440,745811.64505894,17413937861.1121,385232.879058168,8969105740.95284,188763.678291923,4373913848.61304,151266.33406805,3497096299.37137
DAY,1660089600,267,cadli,BTC-USD,23158.794917736,24192.3731290265,22764.8097040346,23961.2072606782,1660089600,1660175940,23191.5927735569,24192.3731290265,1660167060,22764.8097040346,1660092060,23961.2072606782,1440,830833.197260334,19548958820.3809,419564.551352239,9892282852.49042,122075.837724231,2878150465.73862,66679.16290572,1575029372.46948
DAY,1660176000,267,cadli,BTC-USD,23961.2072606782,24862.6952436189,23888.4237821536,23949.5204902639,1660176000,1660262340,23957.0634285526,24862.6952436189,1660223460,23888.4237821536,1660259280,23949.5204902639,1440,952636.954358688,23266581772.5931,472100.140345162,11535205101.5887,126261.14410976,3084582727.65352,69127.65716334,1688678628.99343
DAY,1660262400,267,cadli,BTC-USD,23949.5204902639,24444.5213865322,23638.8102613287,24411.3285140137,1660262400,1660348740,23947.7641432596,24444.5213865322,1660346700,23638.8102613287,1660304340,24411.3285140137,1440,685052.873987174,16432359630.0016,322157.165995856,7728438309.74992,78049.926076005,1872348667.4858,37999.69832196,911536536.29424
DAY,1660348800,267,cadli,BTC-USD,24411.3285140137,24888.109456622,24326.4924812227,24449.7898028232,1660348800,1660435140,24400.8777968649,24888.109456622,1660371600,24326.4924812227,1660390800,24449.7898028232,1440,616581.522265464,15135892654.5933,273618.484742787,6720353124.62288,66010.521853896,1620879041.26102,30213.12005006,742123998.240689
DAY,1660435200,267,cadli,BTC-USD,24449.7898028232,25092.890390876,24181.2003732937,24313.1832718628,1660435200,1660521540,24447.7910376516,25092.890390876,1660463640,24181.2003732937,1660500240,24313.1832718628,1440,608801.294666111,14939683760.9967,277436.41794445,6813065060.71615,69038.561770414,1696966860.1997,36975.81887602,910301403.31847
